top_n,month,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
3,2023-06,55,22,1.6977182880887425,58.18181818181818,40919.512393197976,743.9911344217813,-17400.64299019245,-15428.206612057147,-4426.114210126072,-8773.06593289261,7
3,2023-07,51,20,1.2082887299722163,47.05882352941176,12912.434006558748,253.18498052075975,-14357.482979201892,-9241.208443824644,-4358.698413895752,-7135.211445126265,8
3,2023-08,55,21,0.9904687820484835,47.27272727272727,-608.9578740995639,-11.071961347264798,-30866.650260538037,-15766.135797050629,-4563.414831655957,-11227.809580249299,14
3,2023-09,56,20,2.781192624526389,60.71428571428571,81084.65862389789,1447.9403325696053,-10175.284383804232,-10037.699061767626,-3758.6464558687453,-6428.382087013301,5
3,2023-10,47,20,0.7581519650531645,46.808510638297875,-20004.007054222464,-425.6171713664354,-41377.4617435402,-14035.665487829647,-10112.85990490585,-12378.541902400955,28
3,2023-11,53,20,1.1755515299138894,64.15094339622641,11321.270281135046,213.60887322896315,-21084.075433958456,-10136.074763788314,-6505.938994070084,-9148.811312925227,17
3,2023-12,58,21,1.1948286757782942,58.620689655172406,14213.993564777087,245.0688545651222,-17757.454340739343,-11271.431265159617,-5805.802668568186,-9421.19705387551,8
3,2024-01,36,16,2.1981152314188313,55.55555555555556,47855.71011420958,1329.325280950266,-13889.569912043315,-10221.859190408213,-4587.640710765152,-8558.07255539703,6
3,2024-02,53,19,1.6284572130729058,60.37735849056604,44639.236046261874,842.2497367219222,-27512.465235038053,-18221.60541794974,-4928.6332977759,-10077.450906370594,15
3,2024-03,56,20,2.2471960409822205,67.85714285714286,84884.57167777575,1515.795922817424,-37140.10726046466,-19231.793715217966,-5484.574803110116,-12674.551184958196,7
3,2024-04,60,21,1.7813473378961444,60.0,51210.65418200124,853.510903033354,-17074.505644971185,-8132.628262651656,-5458.4524922138025,-6975.423667643515,14
3,2024-05,58,21,1.5405650523102692,55.172413793103445,68780.48863217556,1185.8704936581994,-41611.250558092346,-30579.368960181593,-10317.594694444922,-18869.332195725263,14
3,2024-06,42,20,2.154123989879643,54.761904761904766,45808.44954048753,1090.6773700116078,-12536.505873343118,-6093.725353446462,-4049.6202043004655,-4803.4301698064155,7
3,2024-07,42,21,2.9053499346779783,73.80952380952381,83824.97886331119,1995.8328300788378,-17723.10125783465,-17723.10125783465,-5435.5423649180575,-10070.335429200228,7
3,2024-08,31,13,3.0987203471366325,61.29032258064516,108646.32831862787,3504.7202683428345,-20091.103905292082,-12320.278267416052,-8383.898724380231,-11178.858393470091,12
3,2024-09,51,18,1.3418454114614964,52.94117647058824,25825.932178499163,506.3908270293953,-26090.52935380789,-10545.718193560242,-5100.662396758526,-8466.447951823391,19
3,2024-10,37,19,2.5635720125048906,70.27027027027027,75895.00973574958,2051.216479344583,-15997.869580214638,-15997.869580214638,-7420.335948431621,-12201.957919748884,7
3,2024-11,43,19,2.4352226900447986,62.7906976744186,72177.24364988979,1678.540549997437,-18933.143444098343,-14450.693621448272,-6335.713599652672,-10146.93728671441,8
3,2024-12,47,21,1.5215037176319222,61.702127659574465,28653.75613789499,609.6543859126593,-12325.220106289305,-9166.404380934455,-6795.841750180165,-7874.288623251255,11
3,2025-01,36,19,1.772305890991188,66.66666666666666,29449.901140356982,818.0528094543606,-13244.409688669177,-13088.60041223088,-4083.242747201348,-8965.303650200485,5
3,2025-02,44,17,2.8417785160638536,54.54545454545454,59202.96003554663,1345.5218189896962,-9246.97051980322,-5860.783132116171,-2974.426887784391,-3968.934777262946,7
3,2025-03,37,19,3.166045374305429,62.16216216216216,67250.00053682593,1817.5675820763765,-9863.217435741422,-8616.322204374683,-3355.8963462894917,-6121.22975434811,6
3,2025-04,46,19,1.223701651620808,45.65217391304348,16151.619999436947,351.1221739008032,-19476.21135051686,-12088.697661963943,-6065.266723021455,-8972.440365896182,13
3,2025-05,40,18,1.0867725762490739,62.5,8667.05336809461,216.67633420236524,-35583.98576154028,-21557.270118899076,-14668.547608452167,-19328.733066004883,14
3,2025-06,52,21,1.3439868841029505,51.92307692307693,21617.473507415896,415.72064437338264,-12796.748543268994,-8967.883534037537,-4145.538194628159,-6810.148006143284,7
3,2025-07,53,22,1.6373576425742007,60.37735849056604,43678.31719868087,824.1191924279409,-17543.579987239566,-17461.504551911185,-5274.652690593448,-11209.419466055246,7
3,2025-08,46,18,4.620000370169544,67.3913043478261,94287.32420829927,2049.7244393108535,-15674.59383541991,-8678.144859782196,-2440.424291371801,-4664.734821271274,6
3,2025-09,50,20,0.7047973089148247,36.0,-24861.407604397315,-497.2281520879463,-32540.79288350937,-10089.999999999985,-6068.884522165684,-8227.867587378272,28
3,2025-10,54,22,1.758071503548311,53.70370370370371,58454.60190742745,1082.4926279153233,-28518.22583297053,-16318.22583297053,-6517.499999999999,-11522.74194432351,11
3,2025-11,42,18,2.2881933038997198,59.523809523809526,98186.34185193086,2337.770044093592,-46100.0,-20200.0,-6740.0,-13500.0,5
3,2025-12,62,22,1.3362446924263416,51.61290322580645,44646.57067082458,720.1059785616867,-52570.001220703125,-29900.0,-7960.0,-17150.0,12
3,2026-01,49,19,2.803289057558507,53.06122448979592,142550.0,2909.183673469388,-31800.0,-11900.0,-7769.999999999999,-9933.333333333334,12
3,2026-02,40,18,2.403154574132491,60.0,88959.99999999994,2223.9999999999986,-27900.0,-19500.0,-6090.0,-13650.0,7
3,2026-03,51,21,1.484000630517023,54.90196078431373,61409.99999999994,1204.1176470588223,-23500.0,-14500.0,-9750.0,-12266.666666666666,7
3,2026-04,50,20,1.4892862597838028,57.99999999999999,68960.00366210938,1379.2000732421875,-37750.0,-24200.0,-12512.998352050781,-18716.666666666668,14
3,2026-05,40,15,2.6564680622651635,57.49999999999999,154300.0,3857.5,-36700.0,-33200.0,-9797.5,-21950.0,12
